rank,name,elo,peak_elo,peak_date,fights,last_fight,elo_vs_peak
1904,Alex Nicholson,1464.39,1503.87,2016-07-13,4,2017-05-28,-39.48
1905,Jack Marshman,1464.38,1528.13,2016-11-19,8,2020-10-31,-63.74
1906,Lando Vannata,1464.35,1517.18,2016-12-10,13,2023-04-15,-52.83
1907,Amar Suloev,1464.32,1485.92,2002-01-11,2,2002-05-10,-21.6
1908,TJ Brown,1464.27,1502.92,2022-12-10,8,2023-10-14,-38.65
1909,Ottman Azaitar,1464.19,1547.09,2020-09-12,5,2024-12-14,-82.9
1910,Damian Stasiak,1464.18,1524.44,2016-10-08,6,2018-07-22,-60.26
1911,Terry Martin,1464.11,1509.64,2007-05-26,6,2008-02-02,-45.53
1912,Frank Trigg,1464.06,1533.95,2004-10-22,7,2010-02-06,-69.89
1913,Steven Peterson,1464.05,1506.41,2021-06-12,8,2023-03-25,-42.36
1914,Sarah Frota,1464.0,1482.43,2019-02-02,2,2019-07-27,-18.43
1915,Akbarh Arreola,1463.93,1503.07,2014-11-22,4,2015-11-14,-39.13
1916,Justin Eilers,1463.92,1524.73,2004-08-21,4,2006-02-04,-60.81
1917,Louis Gaudinot,1463.91,1502.02,2012-05-05,5,2015-01-03,-38.11
1918,Harry Moskowitz,1463.87,1482.53,1997-10-17,2,1998-05-15,-18.66
1919,Vagner Rocha,1463.75,1506.67,2011-09-17,4,2014-11-07,-42.93
1920,Yoshihiro Akiyama,1463.74,1522.25,2009-07-11,7,2015-11-28,-58.51
1921,Pat Barry,1463.73,1522.12,2009-10-24,12,2013-12-06,-58.39
1922,Christian Morecraft,1463.72,1503.8,2011-03-26,4,2012-01-20,-40.08
1923,Jorge Lopez,1463.65,1478.54,2011-09-17,2,2012-05-15,-14.9
1924,Carlos Huachin,1463.62,1480.73,2019-05-11,2,2019-09-21,-17.11
1925,Vaughan Lee,1463.6,1502.56,2014-03-01,8,2015-07-18,-38.96
1926,Pedro Falcao,1463.52,1480.0,2024-04-06,2,2025-04-05,-16.48
1927,Sedriques Dumas,1463.47,1514.71,2023-10-21,8,2025-11-01,-51.24
1928,Yizha,1463.43,1483.02,2025-08-23,4,2026-01-31,-19.59
1929,Julie Kedzie,1463.38,1481.0,2013-07-27,2,2013-12-06,-17.62
1930,Felipe Colares,1463.31,1499.73,2021-05-01,6,2022-05-21,-36.41
1931,Bruna Brasil,1463.23,1505.8,2024-07-27,6,2026-02-07,-42.58
1932,Sam Stout,1463.21,1547.32,2011-06-11,20,2015-08-23,-84.11
1933,Mike Grundy,1463.21,1526.69,2019-03-16,4,2022-03-19,-63.47
1934,Alex White,1463.2,1519.3,2014-04-19,10,2019-10-26,-56.1
1935,Devin Powell,1463.19,1483.82,2018-07-28,4,2018-11-17,-20.64
1936,Christophe Leninger,1463.19,1479.02,1994-09-09,2,1997-05-30,-15.83
1937,Yanis Ghemmouri,1463.04,1480.41,2023-09-02,2,2024-06-29,-17.37
1938,Paul Bradley,1463.02,1476.46,2011-08-06,2,2011-11-12,-13.44
1939,Alberto Crane,1462.98,1483.78,2007-08-25,2,2008-01-23,-20.8
1940,Alvin Robinson,1462.91,1506.15,2007-10-20,4,2008-11-15,-43.24
1941,Papy Abedi,1462.89,1485.88,2011-11-05,4,2013-08-28,-22.99
1942,Bevon Lewis,1462.81,1481.98,2020-01-25,4,2020-11-07,-19.17
1943,Chad Griggs,1462.75,1483.11,2012-04-21,2,2012-11-17,-20.37
1944,Josh Clopton,1462.7,1480.0,2011-12-03,2,2013-08-03,-17.3
1945,AJ Dobson,1462.69,1482.88,2023-08-12,4,2024-03-23,-20.19
1946,Jon Olav Einemo,1462.68,1477.0,2011-06-11,2,2012-01-28,-14.32
1947,Anderson Dos Santos,1462.68,1482.44,2020-11-28,4,2021-08-07,-19.77
1948,Danny Martinez,1462.67,1479.96,2014-02-01,4,2015-11-14,-17.28
1949,DaMarques Johnson,1462.67,1526.55,2010-04-10,10,2012-09-29,-63.88
1950,Kevin Aguilar,1462.64,1548.51,2019-03-30,6,2021-05-15,-85.87
1951,Wagner Prado,1462.63,1500.0,2012-08-04,3,2013-01-19,-37.37
1952,Mats Nilsson,1462.63,1480.95,2014-03-08,2,2015-01-03,-18.32
1953,Liudvik Sholinian,1462.62,1482.68,2021-09-04,2,2022-11-05,-20.06
1954,BJ Penn,1462.61,1653.42,2009-12-12,27,2019-05-11,-190.81
1955,Andre Gusmao,1462.54,1480.0,2008-08-09,2,2009-05-23,-17.46
1956,George Roop,1462.54,1500.87,2014-04-16,13,2015-09-26,-38.33
1957,Tateki Matsuda,1462.51,1481.76,2014-09-05,2,2015-01-18,-19.25
1958,Josh Fremd,1462.47,1499.13,2023-08-12,6,2024-07-13,-36.66
1959,Moti Horenstein,1462.45,1481.84,1996-07-12,2,1997-07-27,-19.4
1960,Gasan Umalatov,1462.41,1498.23,2014-05-31,4,2015-11-07,-35.82
1961,Mitch Ramirez,1462.4,1480.2,2024-03-16,2,2025-07-12,-17.79
1962,Bart Palaszewski,1462.38,1526.67,2011-10-29,4,2013-04-13,-64.3
1963,Matt Bessette,1462.38,1481.62,2018-01-20,2,2018-07-06,-19.25
1964,AJ Cunningham,1462.36,1480.93,2024-03-02,2,2025-03-15,-18.56
1965,Justin Ledet,1462.32,1557.26,2017-09-16,7,2020-10-31,-94.94
1966,Steve Lopez,1462.31,1481.41,2009-09-19,2,2010-09-25,-19.1
1967,Ricky Glenn,1462.28,1528.8,2018-07-14,11,2024-08-17,-66.52
1968,Matt Dwyer,1462.27,1500.69,2015-02-22,4,2016-01-30,-38.42
1969,Mark Striegl,1462.25,1479.15,2020-10-17,2,2022-02-19,-16.9
1970,Felipe dos Santos,1462.25,1501.5,2024-02-24,4,2025-03-22,-39.25
1971,Chris Fishgold,1462.23,1500.75,2019-02-23,4,2020-07-15,-38.51
1972,Andre Winner,1462.15,1524.64,2010-03-31,6,2011-07-02,-62.49
1973,Kazula Vargas,1462.15,1481.63,2021-04-24,4,2022-03-19,-19.48
1974,Jon Delos Reyes,1462.15,1483.69,2015-05-16,4,2015-10-24,-21.53
1975,Enrique Marin,1462.06,1481.0,2015-11-21,2,2016-07-09,-18.94
1976,Josh Neer,1462.06,1527.78,2012-01-20,15,2013-02-23,-65.72
1977,Yosdenis Cedeno,1462.0,1505.67,2014-07-16,4,2015-07-11,-43.68
1978,TJ O'Brien,1461.99,1478.61,2010-11-20,2,2011-08-14,-16.62
1979,Luana Pinheiro,1461.96,1535.45,2023-04-08,7,2025-05-17,-73.49
1980,Domingo Pilarte,1461.94,1479.4,2019-07-20,3,2021-08-21,-17.46
1981,Josh Copeland,1461.87,1479.69,2014-11-22,2,2015-03-14,-17.82
1982,Teemu Packalen,1461.86,1503.36,2016-02-27,4,2019-09-07,-41.5
1983,Jason Gonzalez,1461.81,1499.17,2017-01-28,4,2019-04-27,-37.37
1984,Tim Gorman,1461.78,1480.27,2014-04-16,2,2014-11-08,-18.49
1985,Justin Levens,1461.78,1483.31,2006-04-15,2,2006-06-28,-21.53
1986,Antonio Mendes,1461.76,1482.84,2008-05-24,2,2009-01-17,-21.08
1987,Lauren Mueller,1461.73,1523.94,2018-04-14,4,2019-10-12,-62.2
1988,Quinn Mulhern,1461.72,1482.22,2013-03-16,2,2014-01-04,-20.5
1989,Gabriel Silva,1461.72,1482.22,2019-07-20,2,2020-02-29,-20.5
1990,Danny Mitchell,1461.71,1481.76,2014-03-08,2,2014-08-23,-20.06
1991,Jin Soo Son,1461.71,1481.75,2018-09-15,2,2019-07-20,-20.04
1992,Dusko Todorovic,1461.66,1517.38,2020-10-03,10,2025-09-13,-55.72
1993,Paulo Thiago,1461.61,1573.36,2010-02-06,13,2014-09-13,-111.75
1994,Renee Forte,1461.57,1501.59,2013-02-16,4,2014-03-15,-40.02
1995,Sam Sicilia,1461.57,1527.76,2015-07-15,12,2017-02-19,-66.2
1996,Fernando Bruno,1461.55,1477.0,2015-08-01,2,2016-07-08,-15.45
1997,Shanna Young,1461.48,1480.9,2020-02-15,4,2022-11-05,-19.42
1998,Darrell Horcher,1461.47,1504.07,2017-06-25,4,2018-11-30,-42.6
1999,Ryan Couture,1461.44,1481.81,2013-04-06,2,2013-08-31,-20.37
2000,Nohelin Hernandez,1461.41,1482.91,2019-07-06,2,2019-09-28,-21.49
2001,Carmelo Marrero,1461.41,1522.06,2006-10-14,4,2009-04-01,-60.65
2002,Kazuki Tokudome,1461.32,1521.94,2013-03-02,4,2014-09-20,-60.62
2003,Talita Bernardo,1461.3,1482.79,2018-10-27,4,2019-05-11,-21.48
2004,Jonavin Webb,1461.29,1481.65,2015-05-09,2,2016-02-21,-20.36
2005,Oliver Enkamp,1461.28,1481.28,2017-05-28,2,2018-03-17,-20.0
2006,Hailey Cowan,1461.15,1480.0,2023-04-29,2,2025-04-12,-18.85
2007,Austin Arnett,1461.1,1481.16,2018-11-17,4,2019-02-09,-20.06
2008,Brandon Thatch,1461.1,1546.66,2013-11-09,6,2016-12-30,-85.56
2009,Dileno Lopes,1461.09,1480.0,2015-08-01,2,2016-07-07,-18.91
2010,Julio Paulino,1461.04,1479.25,2010-03-21,2,2010-09-25,-18.21
2011,Jesse Butler,1461.04,1482.51,2023-06-03,2,2024-06-08,-21.47
2012,Dwight Grant,1460.96,1528.78,2019-04-13,8,2022-07-16,-67.83
2013,Sean Salmon,1460.96,1484.01,2007-01-25,2,2007-05-26,-23.05
2014,Chan-Mi Jeon,1460.88,1478.3,2017-06-10,2,2017-09-22,-17.42
2015,Edwin Figueroa,1460.85,1518.54,2012-02-04,6,2013-11-16,-57.7
2016,Jordan Vucenic,1460.85,1478.46,2024-08-03,2,2025-03-22,-17.61
2017,Bruno Souza,1460.81,1481.76,2021-11-06,2,2022-03-26,-20.95
2018,Joey Gambino,1460.78,1480.83,2012-06-22,2,2012-10-13,-20.05
2019,Brian Houston,1460.76,1479.3,2013-11-06,2,2014-01-15,-18.55
2020,Tor Troeng,1460.73,1523.0,2013-04-06,4,2014-10-04,-62.27
2021,Shayna Baszler,1460.7,1480.33,2014-08-30,2,2015-03-21,-19.63
2022,Kay Hansen,1460.69,1523.0,2020-06-27,4,2022-04-09,-62.31
2023,Carlo Prater,1460.68,1500.0,2012-01-14,3,2012-10-05,-39.32
2024,Lucas Almeida,1460.63,1524.22,2022-06-04,6,2025-10-11,-63.59
2025,Dan Argueta,1460.59,1504.38,2023-01-14,6,2024-10-12,-43.78
2026,Jose Johnson,1460.59,1502.33,2023-11-18,4,2025-01-11,-41.73
2027,Gilbert Urbina,1460.57,1501.79,2023-05-20,4,2025-08-09,-41.23
2028,Priscila Cachoeira,1460.54,1515.53,2022-08-13,13,2026-02-07,-54.99
2029,Dokonjonosuke Mishima,1460.49,1479.43,2006-11-18,2,2007-04-05,-18.94
2030,Jarno Errens,1460.47,1480.01,2024-03-23,4,2024-08-10,-19.54
2031,TJ Laramie,1460.46,1475.31,2020-09-19,2,2022-04-16,-14.85
2032,Matt Sayles,1460.42,1501.63,2019-05-04,4,2021-12-18,-41.21
2033,Reuben Duran,1460.4,1505.67,2011-06-04,4,2013-03-16,-45.27
2034,Gaetano Pirrello,1460.39,1481.44,2021-01-20,2,2021-10-02,-21.05
2035,Richardson Moreira,1460.37,1477.0,2014-05-31,2,2015-01-31,-16.63
2036,Matt Horwich,1460.35,1481.9,2008-10-25,2,2009-04-01,-21.55
2037,Ravena Oliveira,1460.28,1481.57,2023-10-14,2,2025-10-18,-21.29
2038,Jackson McVey,1460.28,1480.52,2025-07-19,2,2025-11-08,-20.25
2039,Ednaldo Oliveira,1460.26,1478.63,2012-01-14,2,2013-08-03,-18.36
2040,Josh Ferguson,1460.21,1477.0,2011-12-03,2,2012-07-11,-16.79
2041,Jessica Rakoczy,1460.2,1477.0,2013-11-30,2,2015-04-25,-16.8
2042,Mac Danzig,1460.2,1544.1,2008-04-19,13,2013-12-14,-83.9
2043,Yusuke Kasuya,1460.18,1481.55,2015-09-26,2,2016-11-26,-21.37
2044,Alessio Sakara,1460.14,1549.36,2010-03-21,15,2013-10-26,-89.22
2045,Pete Williams,1460.13,1554.11,1999-05-07,8,2002-03-22,-93.99
2046,Chad Reiner,1460.12,1481.49,2007-01-25,2,2007-06-12,-21.37
2047,Joachim Christensen,1460.11,1502.35,2017-01-15,4,2017-06-25,-42.24
2048,Jason MacDonald,1460.1,1553.43,2007-06-16,14,2012-05-15,-93.33
2049,Jeremy Kimball,1460.08,1502.82,2017-06-25,4,2018-07-22,-42.73
2050,Damien Brown,1460.08,1521.38,2016-11-26,6,2018-02-10,-61.3
2051,Brandon Wolff,1460.07,1480.61,2008-12-10,2,2009-05-23,-20.54
2052,Brok Weaver,1460.05,1500.0,2020-02-15,3,2020-09-12,-39.95
