rank,name,peak_elo,peak_date,current_elo,elo_vs_peak,fights,last_fight
143,Royce Gracie,1641.23,1994-12-16,1500.05,-141.18,10,2006-05-27
144,Paddy Pimblett,1640.96,2025-04-12,1621.5,-19.45,8,2026-01-24
145,Renan Barao,1640.74,2014-02-01,1475.19,-165.55,17,2019-11-16
146,Carlos Prates,1640.29,2025-11-15,1640.29,0.0,7,2025-11-15
147,Tatsuro Taira,1639.53,2025-12-06,1639.53,0.0,9,2025-12-06
148,Alexander Gustafsson,1639.07,2014-03-08,1509.95,-129.12,18,2022-07-23
149,George Sotiropoulos,1639.02,2010-11-20,1501.38,-137.64,11,2013-10-19
150,Sergei Pavlovich,1639.0,2025-08-23,1639.0,0.0,11,2025-08-23
151,Cub Swanson,1638.94,2017-04-22,1574.18,-64.76,25,2024-12-14
152,Raquel Pennington,1638.72,2024-01-20,1599.28,-39.44,19,2024-10-05
153,Jonathan Martinez,1638.53,2023-10-14,1583.15,-55.38,15,2024-11-16
154,Phil Davis,1638.47,2013-08-03,1511.39,-127.07,13,2015-01-24
155,Don Frye,1638.2,1996-12-07,1500.25,-137.95,10,1996-12-07
156,Matt Brown,1637.69,2014-05-10,1531.05,-106.63,30,2023-05-13
157,Gregory Rodrigues,1637.3,2026-03-07,1637.3,0.0,13,2026-03-07
158,Dan Hooker,1637.14,2020-02-22,1579.93,-57.21,24,2026-01-31
159,Michel Pereira,1636.11,2024-05-04,1565.43,-70.68,15,2026-02-21
160,Dan Severn,1636.0,1996-05-17,1500.16,-135.83,13,2000-09-22
161,Norma Dumont,1635.36,2025-11-01,1635.36,0.0,11,2025-11-01
162,Alistair Overeem,1635.04,2017-07-08,1542.08,-92.97,20,2021-02-06
163,Diego Ferreira,1634.62,2020-01-18,1556.9,-77.72,17,2025-09-13
164,Rustam Khabilov,1634.26,2018-09-15,1537.62,-96.64,13,2019-11-09
165,Yair Rodriguez,1633.79,2023-02-11,1604.53,-29.26,16,2025-04-12
166,Chad Mendes,1633.2,2015-04-04,1517.53,-115.66,14,2018-12-29
167,Giga Chikadze,1633.0,2021-08-28,1545.47,-87.53,12,2025-12-13
168,Rob Font,1632.99,2021-05-22,1561.87,-71.12,21,2026-03-07
169,Joel Alvarez,1632.58,2025-10-11,1632.58,0.0,10,2025-10-11
170,Virna Jandiroba,1632.55,2025-04-12,1608.7,-23.85,12,2025-10-25
171,Tim Sylvia,1632.17,2006-11-18,1501.9,-130.27,13,2008-02-02
172,Ricky Simon,1632.13,2022-07-16,1573.34,-58.79,16,2025-11-08
173,Montel Jackson,1632.07,2025-05-03,1613.47,-18.6,12,2025-10-11
174,Cody Garbrandt,1632.05,2016-12-30,1553.76,-78.29,17,2026-03-07
175,Mark Coleman,1631.87,1997-02-07,1489.47,-142.4,12,2010-02-06
176,Randy Couture,1631.75,2007-08-25,1504.0,-127.74,24,2011-04-30
177,Ricardo Lamas,1631.59,2017-07-29,1532.54,-99.05,17,2020-08-29
178,Roman Dolidze,1631.5,2025-03-15,1609.63,-21.87,13,2025-08-09
179,Muhammad Mokaev,1631.48,2024-07-27,1614.34,-17.15,7,2024-07-27
180,Carla Esparza,1631.08,2022-05-07,1555.5,-75.58,16,2024-10-05
181,Anthony Smith,1630.76,2021-09-18,1525.79,-104.97,25,2025-04-26
182,Maycee Barber,1630.61,2024-03-09,1629.84,-0.77,12,2025-12-06
183,Vitor Belfort,1629.9,2013-11-09,1513.64,-116.25,26,2018-05-12
184,Nate Marquardt,1629.37,2009-08-29,1495.32,-134.05,25,2017-11-11
185,Steve Garcia,1629.17,2025-11-01,1629.17,0.0,10,2025-11-01
186,Jamahal Hill,1628.83,2023-01-21,1556.9,-71.94,11,2025-06-21
187,Alex Oliveira,1628.21,2018-09-22,1486.95,-141.26,22,2022-03-05
188,Aiemann Zahabi,1627.79,2025-10-18,1627.79,0.0,10,2025-10-18
189,Evan Tanner,1627.67,2005-02-05,1500.72,-126.96,17,2008-06-21
190,Dominick Reyes,1627.62,2019-10-18,1584.87,-42.74,14,2025-09-27
191,Mike Pierce,1627.26,2013-07-06,1506.66,-120.6,14,2015-12-11
192,Marvin Vettori,1627.18,2023-03-18,1533.86,-93.32,18,2025-12-06
193,Thales Leites,1626.88,2015-01-31,1514.61,-112.27,21,2018-09-22
194,Katlyn Cerminara,1626.48,2022-05-14,1559.14,-67.33,17,2024-03-09
195,Nate Diaz,1626.39,2016-03-05,1545.68,-80.71,27,2022-09-10
196,Geoff Neal,1626.1,2022-08-06,1558.99,-67.1,14,2026-02-21
197,Pedro Munhoz,1625.96,2019-03-02,1529.62,-96.34,22,2024-11-02
198,Jiri Prochazka,1625.91,2025-10-04,1625.91,0.0,8,2025-10-04
199,Jake Ellenberger,1625.17,2013-03-16,1471.0,-154.16,21,2018-08-25
200,Frank Mir,1624.86,2011-12-10,1503.36,-121.5,27,2016-03-19
201,Jussier Formiga,1624.03,2019-03-23,1518.74,-105.29,16,2020-06-06
202,Ronda Rousey,1623.94,2015-08-01,1510.26,-113.68,8,2016-12-30
203,Rafael Fiziev,1623.51,2022-07-09,1554.96,-68.55,12,2026-01-31
204,Gregor Gillespie,1623.31,2019-01-19,1548.12,-75.19,8,2021-05-08
205,Marcin Tybura,1623.27,2025-03-22,1587.82,-35.46,23,2025-09-06
206,Pat Miletich,1623.03,2000-12-16,1500.45,-122.58,10,2002-03-22
207,Corey Anderson,1623.02,2019-11-02,1531.65,-91.37,15,2020-02-15
208,Daniel Rodriguez,1623.0,2022-09-10,1613.76,-9.24,14,2025-07-19
209,Brad Tavares,1622.72,2018-04-14,1515.9,-106.83,27,2025-09-06
210,Myles Jury,1622.7,2014-09-20,1514.24,-108.46,12,2019-02-17
211,Gabriel Bonfim,1622.57,2025-11-08,1622.57,0.0,7,2025-11-08
212,Darren Till,1622.46,2018-05-27,1524.42,-98.04,12,2022-12-10
213,Jasmine Jasudavicius,1622.44,2025-05-10,1599.91,-22.53,11,2025-10-18
214,Elizeu Zaleski dos Santos,1622.35,2019-03-09,1544.04,-78.31,18,2025-08-02
